warning_code,warning_level,warning_name,affect
50709,2,告警指示信号（AIS）,本地MEP收到服务层发的AIS报文，对端设备故障，如果配置保护，可能导致本端链路切换。
50710,3,近端信号劣化（SD）,远端MEP检测近端丢失率超出门限，收包丢包率超阈值。
50711,3,远端信号劣化,远端MEP检测远端丢失率超出门限范围
50712,2,近端丢帧数越限,近端MEP检测近端丢失数超出门限范围
50713,3,远端丢帧数越限,远端MEP检测远端丢失数超出门限范围
50714,3,不期望的时间周期,本地MEP收到CCM报文，在检测报文时发现Period字段错误，用户两端周期不一致
50715,2,不期望的MEP_ID,本地MEP在检测报文发现用户两端MEPID不匹配
50716,2,不期望的MD层次,本地MEP在检测报文发现用户两端level不一致
50717,2,MAC地址不匹配,本地MEP在解析CCM报文时，发现用户本端设备的远端MEP绑定MAC错误
50718,2,banding链路故障,接收到track通知的绑定的PW侧的链路故障，对端链路发生故障，对端设备故障；如果配置保护，可能导致本端链路切换
50719,2,mapping链路故障,接收track通知的mapping的链路故障，对端链路发生故障，对端设备故障；如果配置保护，可能导致本端链路切换
50720,2,误块秒（ES）越限,对应通道接收到有误码的秒计数越限
50721,2,严重误块秒（SES）越限,该通道接收到有缺陷或者严重误码的秒计数越过门限
50722,2,不可用秒（UAS）越限,本通道UAS计数越限
50723,3,远端不可用秒（FEUAS）越限,本通道FEUAS计数越过门限
50724,3,远端误块秒（FEES）越限,本通道FEES计数越过门限
50725,3,远端严重误块秒（FESES）越限,本通道FESES计数越过门限
50726,2,连续严重误码秒（CSES）越限,该告警指示相应通道连续接收到超过30%的误码或收到通道告警
50727,3,远端连续严重误码秒（FECSES）越限,该告警指示对端设备相应通道连续接收到超过30%的误码或收到通道告警
50812,3,环回开启失败,EFM发现过程还没有完成或者本端为passive模式，环回检测开启失败
50813,3,环回关闭失败,本端环回状态为slave
150106,3,接口二层检测状态Down,对端端口Down，链路中断，被检测的二层链路Down
150107,3,接口三层v4链路Down,对端端口Down， 链路中断，被检测的三层V4链路DOWN
150108,3,接口三层v6链路Down,对端端口Down， 链路中断，被检测的三层v6链路Down
200301,3,创建IPI或BGP或VPN_MGR实例失败,申请内存失败导致创建IPI实例失败；没有ROUTER ID并且无法重新获取导致创建BGP实例失败；初始化VPN_MGR失败导致创建VPN_MGR失败
200312,3,进入VRF的v6路由超限,VRF配置了VPN Route Limit功能，在VRF的v6地址族下非warning-only（例如：VRF v6地址族配置模式下，配置maximum routes 475），当VRF中新路由加入，现有路由数（不包括新路由）达到配置的最大路由上限（第一个参数 ，如4），告警发生。
200801,2,不可用秒开始（UAS）,性能告警
200802,2,不可用秒（UAS）越限,性能告警
200803,2,接收方向带宽利用率越限,性能告警
200804,2,发送方向带宽利用率越限,性能告警
240401,3,隧道倒换事件,隧道保护组工作或保护隧道，检测出链路信号中断或衰减，导致切换或回切；或配置手工切换命令导致的切换回切，导致业务转发路径发生切换
240501,3,复用段保护倒换,主端口出现故障或者APS模式下进行了手动切换，流量由主端口切换到备端口上
